Austria,Italy,Portugal,Greece,Taiwan*,Indonesia,India,Mexico,Thailand,Iran
37,338,227,9,0,857,11502,4147,1,2472
22,301,346,13,2,1017,10667,3427,0,2449
18,210,300,14,0,1106,10974,4599,0,2563
53,328,336,55,0,1031,12881,4930,0,2612
19,331,417,24,1,1331,13586,5662,6,2596
31,-148,375,10,0,1041,14516,5030,5,2615
32,264,377,19,0,1226,15403,4717,1,2322
52,224,292,10,0,862,14831,5343,1,2368
32,221,259,21,0,954,14933,4577,3,2573
29,113,345,15,0,1051,15968,6288,5,2445
31,577,367,8,0,1113,16922,5437,1,2531
43,296,311,11,1,1178,17296,6104,1,2595
35,255,451,22,0,1240,18552,5441,4,2628
44,175,323,23,0,1385,19906,4410,0,2456
74,174,457,10,0,1198,19459,4050,0,2489
45,126,266,14,0,1082,18522,3805,7,2536
62,142,229,19,0,1293,18641,5432,2,2457
49,182,313,23,0,1385,19160,5681,2,2549
101,201,328,26,1,1624,20903,6741,6,2652
95,223,374,28,1,1301,22771,6740,1,2566
80,235,413,25,0,1447,24850,6914,5,2449
134,192,328,8,0,1607,24248,4683,5,2560
106,208,232,43,0,1209,22251,4902,5,2613
76,137,287,27,0,1268,22753,6258,0,2637
68,193,443,33,0,1853,24879,6995,2,2691
91,214,418,50,0,2657,26506,7280,5,2079
118,276,402,60,0,1611,27114,6891,0,2262
72,188,542,40,2,1671,28606,6094,14,2397
105,234,291,31,0,1681,28732,4482,1,2186
90,169,306,23,0,1282,28498,4685,3,2349
52,114,233,57,0,1591,29429,7051,7,2521
99,162,375,27,0,1522,32676,6149,5,2388
122,230,339,29,0,1574,34975,6406,4,2500
130,231,312,25,0,1462,35252,7257,3,2379
141,249,313,19,0,1752,38697,7615,7,2166
124,218,246,24,0,1639,40425,5311,3,2182
81,190,135,5,0,1693,37132,5172,1,2414
87,128,127,36,0,1655,37740,6859,5,2625
90,280,252,29,4,1882,45720,6019,-2,2586
137,306,229,33,0,1906,49310,8438,16,2621
162,252,313,25,3,1761,48916,7573,10,2489
117,274,263,31,0,1868,48611,6751,3,2316
153,254,209,27,0,1492,49981,5480,9,2333
112,168,135,34,4,1525,44457,4973,4,2434
101,202,111,52,5,1748,51596,7208,2,2667
96,288,203,57,0,2381,50294,5752,1,2636
153,382,255,65,0,1904,52783,7730,6,2621
102,379,204,76,0,2040,61242,8458,6,2674
190,295,238,110,7,1560,54735,9556,2,2548
123,238,153,75,1,1519,52972,4853,5,2685
62,159,106,75,-1,1679,52050,4767,3,2598
