country,Infection,death,GDP_per_Capita
Austria,5466250,21037,"54,333"
Italy,23642011,179436,"41,267"
Portugal,5525459,25290,"33,700"
Greece ,5188890,33750,
Taiwan,7887537,13198,"32,956"
Indonesia,6521292,158829,"11,533"
India,44660579,530500,"6,433"
Mexico,7113658,330424,"19,167"
Thailand,4695203,32995,"17,967"
Iran,7558142,144596,"12,767"
Greece,,,"28,733"
