Date,Country,infections,Month,Year
6/25/2020,Austria,2,6,2020
6/26/2020,Austria,4,6,2020
6/27/2020,Austria,2,6,2020
6/28/2020,Austria,1,6,2020
6/29/2020,Austria,3,6,2020
6/30/2020,Austria,2,6,2020
7/1/2020,Austria,1,7,2020
7/2/2020,Austria,0,7,2020
7/3/2020,Austria,1,7,2020
7/4/2020,Austria,3,7,2020
7/5/2020,Austria,1,7,2020
7/6/2020,Austria,3,7,2020
7/7/2020,Austria,0,7,2020
7/8/2020,Austria,1,7,2020
7/9/2020,Austria,0,7,2020
7/10/2020,Austria,0,7,2020
7/11/2020,Austria,1,7,2020
7/12/2020,Austria,0,7,2020
7/13/2020,Austria,3,7,2020
7/14/2020,Austria,2,7,2020
7/15/2020,Austria,2,7,2020
7/16/2020,Austria,1,7,2020
7/17/2020,Austria,1,7,2020
7/18/2020,Austria,1,7,2020
7/19/2020,Austria,0,7,2020
7/20/2020,Austria,0,7,2020
7/21/2020,Austria,5,7,2020
7/22/2020,Austria,3,7,2020
7/23/2020,Austria,0,7,2020
7/24/2020,Austria,1,7,2020
7/25/2020,Austria,2,7,2020
7/26/2020,Austria,0,7,2020
7/27/2020,Austria,2,7,2020
7/28/2020,Austria,0,7,2020
7/29/2020,Austria,3,7,2020
7/30/2020,Austria,0,7,2020
7/31/2020,Austria,1,7,2020
8/1/2020,Austria,4,8,2020
8/2/2020,Austria,4,8,2020
8/3/2020,Austria,3,8,2020
8/4/2020,Austria,2,8,2020
8/5/2020,Austria,2,8,2020
8/6/2020,Austria,0,8,2020
8/7/2020,Austria,1,8,2020
8/8/2020,Austria,2,8,2020
8/9/2020,Austria,4,8,2020
8/10/2020,Austria,2,8,2020
8/11/2020,Austria,1,8,2020
8/12/2020,Austria,0,8,2020
8/13/2020,Austria,2,8,2020
8/14/2020,Austria,2,8,2020
8/15/2020,Austria,3,8,2020
8/16/2020,Austria,1,8,2020
8/17/2020,Austria,1,8,2020
8/18/2020,Austria,1,8,2020
8/19/2020,Austria,1,8,2020
8/20/2020,Austria,2,8,2020
8/21/2020,Austria,2,8,2020
8/22/2020,Austria,2,8,2020
8/23/2020,Austria,3,8,2020
8/24/2020,Austria,2,8,2020
8/25/2020,Austria,2,8,2020
8/26/2020,Austria,5,8,2020
8/27/2020,Austria,0,8,2020
8/28/2020,Austria,0,8,2020
8/29/2020,Austria,0,8,2020
8/30/2020,Austria,1,8,2020
8/31/2020,Austria,0,8,2020
9/1/2020,Austria,0,9,2020
9/2/2020,Austria,3,9,2020
9/3/2020,Austria,2,9,2020
9/4/2020,Austria,2,9,2020
9/5/2020,Austria,1,9,2020
9/6/2020,Austria,5,9,2020
9/7/2020,Austria,1,9,2020
9/8/2020,Austria,2,9,2020
9/9/2020,Austria,0,9,2020
9/10/2020,Austria,1,9,2020
9/11/2020,Austria,1,9,2020
9/12/2020,Austria,4,9,2020
9/13/2020,Austria,4,9,2020
9/14/2020,Austria,4,9,2020
9/15/2020,Austria,1,9,2020
9/16/2020,Austria,1,9,2020
9/17/2020,Austria,1,9,2020
9/18/2020,Austria,5,9,2020
9/19/2020,Austria,5,9,2020
9/20/2020,Austria,4,9,2020
9/21/2020,Austria,3,9,2020
9/22/2020,Austria,5,9,2020
9/23/2020,Austria,4,9,2020
9/24/2020,Austria,3,9,2020
9/25/2020,Austria,5,9,2020
9/26/2020,Austria,6,9,2020
9/27/2020,Austria,5,9,2020
9/28/2020,Austria,5,9,2020
9/29/2020,Austria,6,9,2020
9/30/2020,Austria,2,9,2020
10/1/2020,Austria,6,10,2020
10/2/2020,Austria,3,10,2020
10/3/2020,Austria,8,10,2020
10/4/2020,Austria,6,10,2020
10/5/2020,Austria,5,10,2020
10/6/2020,Austria,10,10,2020
10/7/2020,Austria,10,10,2020
10/8/2020,Austria,11,10,2020
10/9/2020,Austria,8,10,2020
10/10/2020,Austria,11,10,2020
10/11/2020,Austria,9,10,2020
10/12/2020,Austria,8,10,2020
10/13/2020,Austria,14,10,2020
10/14/2020,Austria,10,10,2020
10/15/2020,Austria,7,10,2020
10/16/2020,Austria,8,10,2020
10/17/2020,Austria,7,10,2020
10/18/2020,Austria,10,10,2020
10/19/2020,Austria,16,10,2020
10/20/2020,Austria,9,10,2020
10/21/2020,Austria,15,10,2020
10/22/2020,Austria,13,10,2020
10/23/2020,Austria,20,10,2020
10/24/2020,Austria,19,10,2020
10/25/2020,Austria,20,10,2020
10/26/2020,Austria,16,10,2020
10/27/2020,Austria,23,10,2020
10/28/2020,Austria,26,10,2020
10/29/2020,Austria,31,10,2020
10/30/2020,Austria,35,10,2020
10/31/2020,Austria,43,10,2020
11/1/2020,Austria,41,11,2020
11/2/2020,Austria,52,11,2020
11/3/2020,Austria,33,11,2020
11/4/2020,Austria,41,11,2020
11/5/2020,Austria,56,11,2020
11/6/2020,Austria,65,11,2020
11/7/2020,Austria,61,11,2020
11/8/2020,Austria,46,11,2020
